"","Year","Location","Average_Income_from_All_Sources_collected","Median_Income_from_All_Sources_collected","Number_of_households","Scene","Offence","Measure","Value","Flags"
"1",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Total Offences","Recorded",461677,NA
"2",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Homicide and related offences","Recorded",98,NA
"3",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Acts intended to cause injury","Recorded",29773,NA
"4",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Sexual assault and related offences","Recorded",2348,NA
"5",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",933,NA
"6",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",9207,NA
"7",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Robbery, extortion and related offences","Recorded",2201,NA
"8",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",78550,NA
"9",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Theft and related offences","Recorded",177638,NA
"10",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Fraud, deception and related offences","Recorded",25248,NA
"11",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Illicit drug offences","Recorded",26783,NA
"12",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",6081,NA
"13",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Property damage and environmental pollution","Recorded",46503,NA
"14",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Public order offences","Recorded",36597,NA
"15",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",16699,NA
"16",1998,"Total New Zealand",910,756,1227.2,"Total Scene","Miscellaneous offences","Recorded",3018,NA
"17",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Total Offences","Recorded",438074,NA
"18",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Homicide and related offences","Recorded",94,NA
"19",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Acts intended to cause injury","Recorded",29187,NA
"20",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Sexual assault and related offences","Recorded",2189,NA
"21",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",768,NA
"22",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",9235,NA
"23",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Robbery, extortion and related offences","Recorded",1778,NA
"24",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",74274,NA
"25",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Theft and related offences","Recorded",165057,NA
"26",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Fraud, deception and related offences","Recorded",21503,NA
"27",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Illicit drug offences","Recorded",26213,NA
"28",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",5757,NA
"29",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Property damage and environmental pollution","Recorded",47284,NA
"30",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Public order offences","Recorded",34983,NA
"31",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",17164,NA
"32",1999,"Total New Zealand",943,786,1240.1,"Total Scene","Miscellaneous offences","Recorded",2588,NA
"33",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Total Offences","Recorded",427230,NA
"34",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Homicide and related offences","Recorded",98,NA
"35",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Acts intended to cause injury","Recorded",30177,NA
"36",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Sexual assault and related offences","Recorded",2403,NA
"37",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",768,NA
"38",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",10151,NA
"39",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Robbery, extortion and related offences","Recorded",1977,NA
"40",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",66267,NA
"41",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Theft and related offences","Recorded",158454,NA
"42",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Fraud, deception and related offences","Recorded",22441,NA
"43",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Illicit drug offences","Recorded",24579,NA
"44",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",5378,NA
"45",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Property damage and environmental pollution","Recorded",47855,NA
"46",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Public order offences","Recorded",34642,NA
"47",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",19537,NA
"48",2000,"Total New Zealand",950,794,1251.1,"Total Scene","Miscellaneous offences","Recorded",2503,NA
"49",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Total Offences","Recorded",426526,NA
"50",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Homicide and related offences","Recorded",93,NA
"51",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Acts intended to cause injury","Recorded",31462,NA
"52",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Sexual assault and related offences","Recorded",2334,NA
"53",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",892,NA
"54",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",11193,NA
"55",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Robbery, extortion and related offences","Recorded",1877,NA
"56",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",60148,NA
"57",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Theft and related offences","Recorded",158856,NA
"58",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Fraud, deception and related offences","Recorded",21772,NA
"59",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Illicit drug offences","Recorded",24842,NA
"60",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",5675,NA
"61",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Property damage and environmental pollution","Recorded",48787,NA
"62",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Public order offences","Recorded",35958,NA
"63",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",20100,NA
"64",2001,"Total New Zealand",1012,845,1260.7,"Total Scene","Miscellaneous offences","Recorded",2537,NA
"65",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Total Offences","Recorded",440129,NA
"66",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Homicide and related offences","Recorded",121,NA
"67",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Acts intended to cause injury","Recorded",31812,NA
"68",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Sexual assault and related offences","Recorded",2704,NA
"69",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",889,NA
"70",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",10876,NA
"71",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Robbery, extortion and related offences","Recorded",2125,NA
"72",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",60184,NA
"73",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Theft and related offences","Recorded",165597,NA
"74",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Fraud, deception and related offences","Recorded",23774,NA
"75",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Illicit drug offences","Recorded",23742,NA
"76",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",5962,NA
"77",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Property damage and environmental pollution","Recorded",49815,NA
"78",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Public order offences","Recorded",38188,NA
"79",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",20607,NA
"80",2002,"Total New Zealand",1063,891,1276.9,"Total Scene","Miscellaneous offences","Recorded",3733,NA
"81",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Total Offences","Recorded",442489,NA
"82",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Homicide and related offences","Recorded",101,NA
"83",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Acts intended to cause injury","Recorded",31691,NA
"84",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Sexual assault and related offences","Recorded",2458,NA
"85",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",1036,NA
"86",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",11213,NA
"87",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Robbery, extortion and related offences","Recorded",2235,NA
"88",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",61423,NA
"89",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Theft and related offences","Recorded",164929,NA
"90",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Fraud, deception and related offences","Recorded",19549,NA
"91",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Illicit drug offences","Recorded",23318,NA
"92",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",6512,NA
"93",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Property damage and environmental pollution","Recorded",52582,NA
"94",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Public order offences","Recorded",40977,NA
"95",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",20452,NA
"96",2003,"Total New Zealand",1110,912,1312.5,"Total Scene","Miscellaneous offences","Recorded",4013,NA
"97",2004,"Total New Zealand",1157,959,1341,"Total Scene","Total Offences","Recorded",406363,NA
"98",2004,"Total New Zealand",1157,959,1341,"Total Scene","Homicide and related offences","Recorded",86,NA
"99",2004,"Total New Zealand",1157,959,1341,"Total Scene","Acts intended to cause injury","Recorded",31827,NA
"100",2004,"Total New Zealand",1157,959,1341,"Total Scene","Sexual assault and related offences","Recorded",2395,NA
"101",2004,"Total New Zealand",1157,959,1341,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",828,NA
"102",2004,"Total New Zealand",1157,959,1341,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",10966,NA
"103",2004,"Total New Zealand",1157,959,1341,"Total Scene","Robbery, extortion and related offences","Recorded",2212,NA
"104",2004,"Total New Zealand",1157,959,1341,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",57476,NA
"105",2004,"Total New Zealand",1157,959,1341,"Total Scene","Theft and related offences","Recorded",148151,NA
"106",2004,"Total New Zealand",1157,959,1341,"Total Scene","Fraud, deception and related offences","Recorded",17084,NA
"107",2004,"Total New Zealand",1157,959,1341,"Total Scene","Illicit drug offences","Recorded",19801,NA
"108",2004,"Total New Zealand",1157,959,1341,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",6207,NA
"109",2004,"Total New Zealand",1157,959,1341,"Total Scene","Property damage and environmental pollution","Recorded",48769,NA
"110",2004,"Total New Zealand",1157,959,1341,"Total Scene","Public order offences","Recorded",39588,NA
"111",2004,"Total New Zealand",1157,959,1341,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",19296,NA
"112",2004,"Total New Zealand",1157,959,1341,"Total Scene","Miscellaneous offences","Recorded",1677,NA
"113",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Total Offences","Recorded",407496,NA
"114",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Homicide and related offences","Recorded",103,NA
"115",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Acts intended to cause injury","Recorded",33469,NA
"116",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Sexual assault and related offences","Recorded",2465,NA
"117",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",645,NA
"118",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",11143,NA
"119",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Robbery, extortion and related offences","Recorded",2442,NA
"120",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",57923,NA
"121",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Theft and related offences","Recorded",151649,NA
"122",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Fraud, deception and related offences","Recorded",12179,NA
"123",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Illicit drug offences","Recorded",18821,NA
"124",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",7026,NA
"125",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Property damage and environmental pollution","Recorded",51762,NA
"126",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Public order offences","Recorded",37554,NA
"127",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",18709,NA
"128",2005,"Total New Zealand",1208,1017,1357.9,"Total Scene","Miscellaneous offences","Recorded",1606,NA
"129",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Total Offences","Recorded",424137,NA
"130",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Homicide and related offences","Recorded",98,NA
"131",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Acts intended to cause injury","Recorded",34545,NA
"132",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Sexual assault and related offences","Recorded",2838,NA
"133",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",752,NA
"134",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",10757,NA
"135",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Robbery, extortion and related offences","Recorded",3060,NA
"136",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",61437,NA
"137",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Theft and related offences","Recorded",153460,NA
"138",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Fraud, deception and related offences","Recorded",12917,NA
"139",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Illicit drug offences","Recorded",19224,NA
"140",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",7838,NA
"141",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Property damage and environmental pollution","Recorded",57075,NA
"142",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Public order offences","Recorded",38521,NA
"143",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",20181,NA
"144",2006,"Total New Zealand",1248,1080,1381.3,"Total Scene","Miscellaneous offences","Recorded",1434,NA
"145",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Total Offences","Recorded",426384,NA
"146",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Homicide and related offences","Recorded",91,NA
"147",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Acts intended to cause injury","Recorded",39475,NA
"148",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Sexual assault and related offences","Recorded",2831,NA
"149",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",752,NA
"150",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",12416,NA
"151",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Robbery, extortion and related offences","Recorded",2894,NA
"152",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",58230,NA
"153",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Theft and related offences","Recorded",145465,NA
"154",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Fraud, deception and related offences","Recorded",12430,NA
"155",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Illicit drug offences","Recorded",19084,NA
"156",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",7376,NA
"157",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Property damage and environmental pollution","Recorded",61016,NA
"158",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Public order offences","Recorded",41819,NA
"159",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",21150,NA
"160",2007,"Total New Zealand",1345,1151,1393.1,"Total Scene","Miscellaneous offences","Recorded",1355,NA
"161",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Total Offences","Recorded",431383,NA
"162",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Homicide and related offences","Recorded",102,NA
"163",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Acts intended to cause injury","Recorded",42035,NA
"164",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Sexual assault and related offences","Recorded",2795,NA
"165",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",785,NA
"166",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",12719,NA
"167",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Robbery, extortion and related offences","Recorded",2826,NA
"168",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",59326,NA
"169",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Theft and related offences","Recorded",140858,NA
"170",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Fraud, deception and related offences","Recorded",14604,NA
"171",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Illicit drug offences","Recorded",20631,NA
"172",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",7291,NA
"173",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Property damage and environmental pollution","Recorded",61759,NA
"174",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Public order offences","Recorded",42981,NA
"175",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",21075,NA
"176",2008,"Total New Zealand",1384,1200,1401,"Total Scene","Miscellaneous offences","Recorded",1596,NA
"177",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Total Offences","Recorded",451405,NA
"178",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Homicide and related offences","Recorded",127,NA
"179",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Acts intended to cause injury","Recorded",45375,NA
"180",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Sexual assault and related offences","Recorded",2912,NA
"181",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",749,NA
"182",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",14473,NA
"183",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Robbery, extortion and related offences","Recorded",2828,NA
"184",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",61405,NA
"185",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Theft and related offences","Recorded",144780,NA
"186",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Fraud, deception and related offences","Recorded",13314,NA
"187",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Illicit drug offences","Recorded",24923,NA
"188",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",7763,NA
"189",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Property damage and environmental pollution","Recorded",62636,NA
"190",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Public order offences","Recorded",46945,NA
"191",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",21790,NA
"192",2009,"Total New Zealand",1395,1189,1420.2,"Total Scene","Miscellaneous offences","Recorded",1385,NA
"193",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Total Offences","Recorded",426345,NA
"194",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Homicide and related offences","Recorded",97,NA
"195",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Acts intended to cause injury","Recorded",44515,NA
"196",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Sexual assault and related offences","Recorded",3016,NA
"197",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",859,NA
"198",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",14157,NA
"199",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Robbery, extortion and related offences","Recorded",2641,NA
"200",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",59323,NA
"201",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Theft and related offences","Recorded",136932,NA
"202",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Fraud, deception and related offences","Recorded",9726,NA
"203",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Illicit drug offences","Recorded",22994,NA
"204",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",7074,NA
"205",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Property damage and environmental pollution","Recorded",58483,NA
"206",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Public order offences","Recorded",46105,NA
"207",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",19084,NA
"208",2010,"Total New Zealand",1421,1199,1433.3,"Total Scene","Miscellaneous offences","Recorded",1339,NA
"209",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Total Offences","Recorded",406056,NA
"210",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Homicide and related offences","Recorded",83,NA
"211",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Acts intended to cause injury","Recorded",42278,NA
"212",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Sexual assault and related offences","Recorded",3466,NA
"213",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",979,NA
"214",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",12947,NA
"215",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Robbery, extortion and related offences","Recorded",2447,NA
"216",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",59518,NA
"217",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Theft and related offences","Recorded",135442,NA
"218",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Fraud, deception and related offences","Recorded",8010,NA
"219",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Illicit drug offences","Recorded",20738,NA
"220",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",6362,NA
"221",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Property damage and environmental pollution","Recorded",51984,NA
"222",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Public order offences","Recorded",42969,NA
"223",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",17404,NA
"224",2011,"Total New Zealand",1456,1243,1428.1,"Total Scene","Miscellaneous offences","Recorded",1429,NA
"225",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Total Offences","Recorded",376013,NA
"226",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Homicide and related offences","Recorded",68,NA
"227",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Acts intended to cause injury","Recorded",40851,NA
"228",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Sexual assault and related offences","Recorded",3512,NA
"229",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",1022,NA
"230",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",12476,NA
"231",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Robbery, extortion and related offences","Recorded",2199,NA
"232",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",52937,NA
"233",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Theft and related offences","Recorded",119476,NA
"234",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Fraud, deception and related offences","Recorded",8013,NA
"235",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Illicit drug offences","Recorded",20792,NA
"236",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",6063,NA
"237",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Property damage and environmental pollution","Recorded",48901,NA
"238",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Public order offences","Recorded",42522,NA
"239",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",15797,NA
"240",2012,"Total New Zealand",1486,1268,1439.8,"Total Scene","Miscellaneous offences","Recorded",1384,NA
"241",2013,"Total New Zealand",1534,1318,1442,"Total Scene","Total Offences","Recorded",360411,NA
"242",2013,"Total New Zealand",1534,1318,1442,"Total Scene","Homicide and related offences","Recorded",83,NA
"243",2013,"Total New Zealand",1534,1318,1442,"Total Scene","Acts intended to cause injury","Recorded",39447,NA
"244",2013,"Total New Zealand",1534,1318,1442,"Total Scene","Sexual assault and related offences","Recorded",3919,NA
"245",2013,"Total New Zealand",1534,1318,1442,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",787,NA
"246",2013,"Total New Zealand",1534,1318,1442,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",13763,NA
"247",2013,"Total New Zealand",1534,1318,1442,"Total Scene","Robbery, extortion and related offences","Recorded",2178,NA
"248",2013,"Total New Zealand",1534,1318,1442,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",52247,NA
"249",2013,"Total New Zealand",1534,1318,1442,"Total Scene","Theft and related offences","Recorded",121035,NA
"250",2013,"Total New Zealand",1534,1318,1442,"Total Scene","Fraud, deception and related offences","Recorded",7997,NA
"251",2013,"Total New Zealand",1534,1318,1442,"Total Scene","Illicit drug offences","Recorded",16069,NA
"252",2013,"Total New Zealand",1534,1318,1442,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",5675,NA
