"","Location","Scene","Offence","Year","Measure","Value","Flags"
"1","Waitemata District","Total Scene","Total Offences",1994,"Recorded",31026,NA
"2","Waitemata District","Total Scene","Total Offences",1995,"Recorded",35144,NA
"3","Waitemata District","Total Scene","Total Offences",1996,"Recorded",38242,NA
"4","Waitemata District","Total Scene","Total Offences",1997,"Recorded",39575,NA
"5","Waitemata District","Total Scene","Total Offences",1998,"Recorded",38356,NA
"6","Waitemata District","Total Scene","Total Offences",1999,"Recorded",37554,NA
"7","Waitemata District","Total Scene","Total Offences",2000,"Recorded",38266,NA
"8","Waitemata District","Total Scene","Total Offences",2001,"Recorded",37583,NA
"9","Waitemata District","Total Scene","Total Offences",2002,"Recorded",39710,NA
"10","Waitemata District","Total Scene","Total Offences",2003,"Recorded",41106,NA
"11","Waitemata District","Total Scene","Total Offences",2004,"Recorded",38074,NA
"12","Waitemata District","Total Scene","Total Offences",2005,"Recorded",37996,NA
"13","Waitemata District","Total Scene","Total Offences",2006,"Recorded",40206,NA
"14","Waitemata District","Total Scene","Total Offences",2007,"Recorded",38784,NA
"15","Waitemata District","Total Scene","Total Offences",2008,"Recorded",39763,NA
"16","Waitemata District","Total Scene","Total Offences",2009,"Recorded",40835,NA
"17","Waitemata District","Total Scene","Total Offences",2010,"Recorded",36392,NA
"18","Waitemata District","Total Scene","Total Offences",2011,"Recorded",36214,NA
"19","Waitemata District","Total Scene","Total Offences",2012,"Recorded",31718,NA
"20","Waitemata District","Total Scene","Total Offences",2013,"Recorded",31704,NA
"21","Waitemata District","Total Scene","Total Offences",2014,"Recorded",32043,NA
"22","Waitemata District","Total Scene","Homicide and related offences",1994,"Recorded",11,NA
"23","Waitemata District","Total Scene","Homicide and related offences",1995,"Recorded",1,NA
"24","Waitemata District","Total Scene","Homicide and related offences",1996,"Recorded",9,NA
"25","Waitemata District","Total Scene","Homicide and related offences",1997,"Recorded",15,NA
"26","Waitemata District","Total Scene","Homicide and related offences",1998,"Recorded",8,NA
"27","Waitemata District","Total Scene","Homicide and related offences",1999,"Recorded",7,NA
"28","Waitemata District","Total Scene","Homicide and related offences",2000,"Recorded",10,NA
"29","Waitemata District","Total Scene","Homicide and related offences",2001,"Recorded",5,NA
"30","Waitemata District","Total Scene","Homicide and related offences",2002,"Recorded",10,NA
"31","Waitemata District","Total Scene","Homicide and related offences",2003,"Recorded",8,NA
"32","Waitemata District","Total Scene","Homicide and related offences",2004,"Recorded",4,NA
"33","Waitemata District","Total Scene","Homicide and related offences",2005,"Recorded",6,NA
"34","Waitemata District","Total Scene","Homicide and related offences",2006,"Recorded",5,NA
"35","Waitemata District","Total Scene","Homicide and related offences",2007,"Recorded",5,NA
"36","Waitemata District","Total Scene","Homicide and related offences",2008,"Recorded",3,NA
"37","Waitemata District","Total Scene","Homicide and related offences",2009,"Recorded",8,NA
"38","Waitemata District","Total Scene","Homicide and related offences",2010,"Recorded",9,NA
"39","Waitemata District","Total Scene","Homicide and related offences",2011,"Recorded",7,NA
"40","Waitemata District","Total Scene","Homicide and related offences",2012,"Recorded",1,NA
"41","Waitemata District","Total Scene","Homicide and related offences",2013,"Recorded",6,NA
"42","Waitemata District","Total Scene","Homicide and related offences",2014,"Recorded",14,NA
"43","Waitemata District","Total Scene","Acts intended to cause injury",1994,"Recorded",2498,NA
"44","Waitemata District","Total Scene","Acts intended to cause injury",1995,"Recorded",2638,NA
"45","Waitemata District","Total Scene","Acts intended to cause injury",1996,"Recorded",2731,NA
"46","Waitemata District","Total Scene","Acts intended to cause injury",1997,"Recorded",2766,NA
"47","Waitemata District","Total Scene","Acts intended to cause injury",1998,"Recorded",2738,NA
"48","Waitemata District","Total Scene","Acts intended to cause injury",1999,"Recorded",2669,NA
"49","Waitemata District","Total Scene","Acts intended to cause injury",2000,"Recorded",2922,NA
"50","Waitemata District","Total Scene","Acts intended to cause injury",2001,"Recorded",3292,NA
"51","Waitemata District","Total Scene","Acts intended to cause injury",2002,"Recorded",3409,NA
"52","Waitemata District","Total Scene","Acts intended to cause injury",2003,"Recorded",3284,NA
"53","Waitemata District","Total Scene","Acts intended to cause injury",2004,"Recorded",3341,NA
"54","Waitemata District","Total Scene","Acts intended to cause injury",2005,"Recorded",3255,NA
"55","Waitemata District","Total Scene","Acts intended to cause injury",2006,"Recorded",3424,NA
"56","Waitemata District","Total Scene","Acts intended to cause injury",2007,"Recorded",3858,NA
"57","Waitemata District","Total Scene","Acts intended to cause injury",2008,"Recorded",3952,NA
"58","Waitemata District","Total Scene","Acts intended to cause injury",2009,"Recorded",4017,NA
"59","Waitemata District","Total Scene","Acts intended to cause injury",2010,"Recorded",3787,NA
"60","Waitemata District","Total Scene","Acts intended to cause injury",2011,"Recorded",3656,NA
"61","Waitemata District","Total Scene","Acts intended to cause injury",2012,"Recorded",3521,NA
"62","Waitemata District","Total Scene","Acts intended to cause injury",2013,"Recorded",3134,NA
"63","Waitemata District","Total Scene","Acts intended to cause injury",2014,"Recorded",2960,NA
"64","Waitemata District","Total Scene","Sexual assault and related offences",1994,"Recorded",194,NA
"65","Waitemata District","Total Scene","Sexual assault and related offences",1995,"Recorded",200,NA
"66","Waitemata District","Total Scene","Sexual assault and related offences",1996,"Recorded",178,NA
"67","Waitemata District","Total Scene","Sexual assault and related offences",1997,"Recorded",161,NA
"68","Waitemata District","Total Scene","Sexual assault and related offences",1998,"Recorded",155,NA
"69","Waitemata District","Total Scene","Sexual assault and related offences",1999,"Recorded",232,NA
"70","Waitemata District","Total Scene","Sexual assault and related offences",2000,"Recorded",191,NA
"71","Waitemata District","Total Scene","Sexual assault and related offences",2001,"Recorded",192,NA
"72","Waitemata District","Total Scene","Sexual assault and related offences",2002,"Recorded",230,NA
"73","Waitemata District","Total Scene","Sexual assault and related offences",2003,"Recorded",203,NA
"74","Waitemata District","Total Scene","Sexual assault and related offences",2004,"Recorded",213,NA
"75","Waitemata District","Total Scene","Sexual assault and related offences",2005,"Recorded",211,NA
"76","Waitemata District","Total Scene","Sexual assault and related offences",2006,"Recorded",240,NA
"77","Waitemata District","Total Scene","Sexual assault and related offences",2007,"Recorded",288,NA
"78","Waitemata District","Total Scene","Sexual assault and related offences",2008,"Recorded",281,NA
"79","Waitemata District","Total Scene","Sexual assault and related offences",2009,"Recorded",309,NA
"80","Waitemata District","Total Scene","Sexual assault and related offences",2010,"Recorded",309,NA
"81","Waitemata District","Total Scene","Sexual assault and related offences",2011,"Recorded",308,NA
"82","Waitemata District","Total Scene","Sexual assault and related offences",2012,"Recorded",265,NA
"83","Waitemata District","Total Scene","Sexual assault and related offences",2013,"Recorded",351,NA
"84","Waitemata District","Total Scene","Sexual assault and related offences",2014,"Recorded",310,NA
"85","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",1994,"Recorded",66,NA
"86","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",1995,"Recorded",69,NA
"87","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",1996,"Recorded",87,NA
"88","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",1997,"Recorded",68,NA
"89","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",1998,"Recorded",76,NA
"90","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",1999,"Recorded",63,NA
"91","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2000,"Recorded",66,NA
"92","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2001,"Recorded",80,NA
"93","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2002,"Recorded",69,NA
"94","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2003,"Recorded",104,NA
"95","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2004,"Recorded",69,NA
"96","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2005,"Recorded",67,NA
"97","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2006,"Recorded",88,NA
"98","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2007,"Recorded",75,NA
"99","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2008,"Recorded",88,NA
"100","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2009,"Recorded",67,NA
"101","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2010,"Recorded",86,NA
"102","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2011,"Recorded",106,NA
"103","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2012,"Recorded",68,NA
"104","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2013,"Recorded",62,NA
"105","Waitemata District","Total Scene","Dangerous or negligent acts endangering persons",2014,"Recorded",59,NA
"106","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",1994,"Recorded",978,NA
"107","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",1995,"Recorded",1019,NA
"108","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",1996,"Recorded",1096,NA
"109","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",1997,"Recorded",1062,NA
"110","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",1998,"Recorded",969,NA
"111","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",1999,"Recorded",1007,NA
"112","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2000,"Recorded",1224,NA
"113","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2001,"Recorded",1350,NA
"114","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2002,"Recorded",1399,NA
"115","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2003,"Recorded",1405,NA
"116","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2004,"Recorded",1496,NA
"117","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2005,"Recorded",1357,NA
"118","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2006,"Recorded",1311,NA
"119","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2007,"Recorded",1544,NA
"120","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2008,"Recorded",1438,NA
"121","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2009,"Recorded",1421,NA
"122","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2010,"Recorded",1204,NA
"123","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2011,"Recorded",1223,NA
"124","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2012,"Recorded",1209,NA
"125","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2013,"Recorded",1244,NA
"126","Waitemata District","Total Scene","Abduction, harassment and other related offences against a person",2014,"Recorded",1370,NA
"127","Waitemata District","Total Scene","Robbery, extortion and related offences",1994,"Recorded",131,NA
"128","Waitemata District","Total Scene","Robbery, extortion and related offences",1995,"Recorded",120,NA
"129","Waitemata District","Total Scene","Robbery, extortion and related offences",1996,"Recorded",165,NA
"130","Waitemata District","Total Scene","Robbery, extortion and related offences",1997,"Recorded",152,NA
"131","Waitemata District","Total Scene","Robbery, extortion and related offences",1998,"Recorded",196,NA
"132","Waitemata District","Total Scene","Robbery, extortion and related offences",1999,"Recorded",168,NA
"133","Waitemata District","Total Scene","Robbery, extortion and related offences",2000,"Recorded",213,NA
"134","Waitemata District","Total Scene","Robbery, extortion and related offences",2001,"Recorded",173,NA
"135","Waitemata District","Total Scene","Robbery, extortion and related offences",2002,"Recorded",215,NA
"136","Waitemata District","Total Scene","Robbery, extortion and related offences",2003,"Recorded",244,NA
"137","Waitemata District","Total Scene","Robbery, extortion and related offences",2004,"Recorded",217,NA
"138","Waitemata District","Total Scene","Robbery, extortion and related offences",2005,"Recorded",226,NA
"139","Waitemata District","Total Scene","Robbery, extortion and related offences",2006,"Recorded",301,NA
"140","Waitemata District","Total Scene","Robbery, extortion and related offences",2007,"Recorded",257,NA
"141","Waitemata District","Total Scene","Robbery, extortion and related offences",2008,"Recorded",268,NA
"142","Waitemata District","Total Scene","Robbery, extortion and related offences",2009,"Recorded",278,NA
"143","Waitemata District","Total Scene","Robbery, extortion and related offences",2010,"Recorded",309,NA
"144","Waitemata District","Total Scene","Robbery, extortion and related offences",2011,"Recorded",226,NA
"145","Waitemata District","Total Scene","Robbery, extortion and related offences",2012,"Recorded",210,NA
"146","Waitemata District","Total Scene","Robbery, extortion and related offences",2013,"Recorded",164,NA
"147","Waitemata District","Total Scene","Robbery, extortion and related offences",2014,"Recorded",195,NA
"148","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",1994,"Recorded",6327,NA
"149","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",1995,"Recorded",7068,NA
"150","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",1996,"Recorded",7977,NA
"151","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",1997,"Recorded",8662,NA
"152","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",1998,"Recorded",8620,NA
"153","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",1999,"Recorded",7489,NA
"154","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2000,"Recorded",6220,NA
"155","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2001,"Recorded",5464,NA
"156","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2002,"Recorded",5500,NA
"157","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2003,"Recorded",6219,NA
"158","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2004,"Recorded",5496,NA
"159","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2005,"Recorded",5439,NA
"160","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2006,"Recorded",5746,NA
"161","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2007,"Recorded",5276,NA
"162","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2008,"Recorded",5956,NA
"163","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2009,"Recorded",6257,NA
"164","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2010,"Recorded",5752,NA
"165","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2011,"Recorded",5876,NA
"166","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2012,"Recorded",4436,NA
"167","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2013,"Recorded",4126,NA
"168","Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter",2014,"Recorded",4581,NA
"169","Waitemata District","Total Scene","Theft and related offences",1994,"Recorded",11418,NA
"170","Waitemata District","Total Scene","Theft and related offences",1995,"Recorded",13018,NA
"171","Waitemata District","Total Scene","Theft and related offences",1996,"Recorded",13946,NA
"172","Waitemata District","Total Scene","Theft and related offences",1997,"Recorded",14060,NA
"173","Waitemata District","Total Scene","Theft and related offences",1998,"Recorded",14131,NA
"174","Waitemata District","Total Scene","Theft and related offences",1999,"Recorded",13142,NA
"175","Waitemata District","Total Scene","Theft and related offences",2000,"Recorded",12566,NA
"176","Waitemata District","Total Scene","Theft and related offences",2001,"Recorded",12375,NA
"177","Waitemata District","Total Scene","Theft and related offences",2002,"Recorded",13205,NA
"178","Waitemata District","Total Scene","Theft and related offences",2003,"Recorded",13428,NA
"179","Waitemata District","Total Scene","Theft and related offences",2004,"Recorded",12685,NA
"180","Waitemata District","Total Scene","Theft and related offences",2005,"Recorded",13576,NA
"181","Waitemata District","Total Scene","Theft and related offences",2006,"Recorded",14302,NA
"182","Waitemata District","Total Scene","Theft and related offences",2007,"Recorded",12804,NA
"183","Waitemata District","Total Scene","Theft and related offences",2008,"Recorded",12680,NA
"184","Waitemata District","Total Scene","Theft and related offences",2009,"Recorded",12956,NA
"185","Waitemata District","Total Scene","Theft and related offences",2010,"Recorded",11870,NA
"186","Waitemata District","Total Scene","Theft and related offences",2011,"Recorded",13003,NA
"187","Waitemata District","Total Scene","Theft and related offences",2012,"Recorded",10824,NA
"188","Waitemata District","Total Scene","Theft and related offences",2013,"Recorded",12076,NA
"189","Waitemata District","Total Scene","Theft and related offences",2014,"Recorded",12291,NA
"190","Waitemata District","Total Scene","Fraud, deception and related offences",1994,"Recorded",1765,NA
"191","Waitemata District","Total Scene","Fraud, deception and related offences",1995,"Recorded",2522,NA
"192","Waitemata District","Total Scene","Fraud, deception and related offences",1996,"Recorded",3158,NA
"193","Waitemata District","Total Scene","Fraud, deception and related offences",1997,"Recorded",3085,NA
"194","Waitemata District","Total Scene","Fraud, deception and related offences",1998,"Recorded",1954,NA
"195","Waitemata District","Total Scene","Fraud, deception and related offences",1999,"Recorded",2198,NA
"196","Waitemata District","Total Scene","Fraud, deception and related offences",2000,"Recorded",2797,NA
"197","Waitemata District","Total Scene","Fraud, deception and related offences",2001,"Recorded",2431,NA
"198","Waitemata District","Total Scene","Fraud, deception and related offences",2002,"Recorded",2811,NA
"199","Waitemata District","Total Scene","Fraud, deception and related offences",2003,"Recorded",2542,NA
"200","Waitemata District","Total Scene","Fraud, deception and related offences",2004,"Recorded",1796,NA
"201","Waitemata District","Total Scene","Fraud, deception and related offences",2005,"Recorded",1445,NA
"202","Waitemata District","Total Scene","Fraud, deception and related offences",2006,"Recorded",1778,NA
"203","Waitemata District","Total Scene","Fraud, deception and related offences",2007,"Recorded",1478,NA
"204","Waitemata District","Total Scene","Fraud, deception and related offences",2008,"Recorded",1525,NA
"205","Waitemata District","Total Scene","Fraud, deception and related offences",2009,"Recorded",1237,NA
"206","Waitemata District","Total Scene","Fraud, deception and related offences",2010,"Recorded",1079,NA
"207","Waitemata District","Total Scene","Fraud, deception and related offences",2011,"Recorded",838,NA
"208","Waitemata District","Total Scene","Fraud, deception and related offences",2012,"Recorded",887,NA
"209","Waitemata District","Total Scene","Fraud, deception and related offences",2013,"Recorded",929,NA
"210","Waitemata District","Total Scene","Fraud, deception and related offences",2014,"Recorded",933,NA
"211","Waitemata District","Total Scene","Illicit drug offences",1994,"Recorded",1789,NA
"212","Waitemata District","Total Scene","Illicit drug offences",1995,"Recorded",1433,NA
"213","Waitemata District","Total Scene","Illicit drug offences",1996,"Recorded",1417,NA
"214","Waitemata District","Total Scene","Illicit drug offences",1997,"Recorded",1660,NA
"215","Waitemata District","Total Scene","Illicit drug offences",1998,"Recorded",1816,NA
"216","Waitemata District","Total Scene","Illicit drug offences",1999,"Recorded",2044,NA
"217","Waitemata District","Total Scene","Illicit drug offences",2000,"Recorded",2708,NA
"218","Waitemata District","Total Scene","Illicit drug offences",2001,"Recorded",2739,NA
"219","Waitemata District","Total Scene","Illicit drug offences",2002,"Recorded",2469,NA
"220","Waitemata District","Total Scene","Illicit drug offences",2003,"Recorded",2843,NA
"221","Waitemata District","Total Scene","Illicit drug offences",2004,"Recorded",2591,NA
"222","Waitemata District","Total Scene","Illicit drug offences",2005,"Recorded",2162,NA
"223","Waitemata District","Total Scene","Illicit drug offences",2006,"Recorded",2252,NA
"224","Waitemata District","Total Scene","Illicit drug offences",2007,"Recorded",2197,NA
"225","Waitemata District","Total Scene","Illicit drug offences",2008,"Recorded",2434,NA
"226","Waitemata District","Total Scene","Illicit drug offences",2009,"Recorded",2697,NA
"227","Waitemata District","Total Scene","Illicit drug offences",2010,"Recorded",2089,NA
"228","Waitemata District","Total Scene","Illicit drug offences",2011,"Recorded",1870,NA
"229","Waitemata District","Total Scene","Illicit drug offences",2012,"Recorded",1772,NA
"230","Waitemata District","Total Scene","Illicit drug offences",2013,"Recorded",1583,NA
"231","Waitemata District","Total Scene","Illicit drug offences",2014,"Recorded",1523,NA
"232","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",1994,"Recorded",430,NA
"233","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",1995,"Recorded",462,NA
"234","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",1996,"Recorded",469,NA
"235","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",1997,"Recorded",537,NA
"236","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",1998,"Recorded",468,NA
"237","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",1999,"Recorded",545,NA
"238","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2000,"Recorded",591,NA
"239","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2001,"Recorded",603,NA
"240","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2002,"Recorded",537,NA
"241","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2003,"Recorded",656,NA
"242","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2004,"Recorded",735,NA
"243","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2005,"Recorded",759,NA
"244","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2006,"Recorded",800,NA
"245","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2007,"Recorded",910,NA
"246","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2008,"Recorded",706,NA
"247","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2009,"Recorded",814,NA
"248","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2010,"Recorded",589,NA
"249","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2011,"Recorded",592,NA
"250","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2012,"Recorded",568,NA
"251","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2013,"Recorded",492,NA
"252","Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences",2014,"Recorded",425,NA
"253","Waitemata District","Total Scene","Property damage and environmental pollution",1994,"Recorded",2491,NA
"254","Waitemata District","Total Scene","Property damage and environmental pollution",1995,"Recorded",3358,NA
"255","Waitemata District","Total Scene","Property damage and environmental pollution",1996,"Recorded",3676,NA
"256","Waitemata District","Total Scene","Property damage and environmental pollution",1997,"Recorded",3415,NA
"257","Waitemata District","Total Scene","Property damage and environmental pollution",1998,"Recorded",2947,NA
"258","Waitemata District","Total Scene","Property damage and environmental pollution",1999,"Recorded",3259,NA
"259","Waitemata District","Total Scene","Property damage and environmental pollution",2000,"Recorded",3448,NA
"260","Waitemata District","Total Scene","Property damage and environmental pollution",2001,"Recorded",3516,NA
"261","Waitemata District","Total Scene","Property damage and environmental pollution",2002,"Recorded",3692,NA
"262","Waitemata District","Total Scene","Property damage and environmental pollution",2003,"Recorded",4132,NA
"263","Waitemata District","Total Scene","Property damage and environmental pollution",2004,"Recorded",3817,NA
"264","Waitemata District","Total Scene","Property damage and environmental pollution",2005,"Recorded",4382,NA
"265","Waitemata District","Total Scene","Property damage and environmental pollution",2006,"Recorded",4271,NA
"266","Waitemata District","Total Scene","Property damage and environmental pollution",2007,"Recorded",3953,NA
"267","Waitemata District","Total Scene","Property damage and environmental pollution",2008,"Recorded",3941,NA
"268","Waitemata District","Total Scene","Property damage and environmental pollution",2009,"Recorded",3872,NA
"269","Waitemata District","Total Scene","Property damage and environmental pollution",2010,"Recorded",3639,NA
"270","Waitemata District","Total Scene","Property damage and environmental pollution",2011,"Recorded",3471,NA
"271","Waitemata District","Total Scene","Property damage and environmental pollution",2012,"Recorded",3324,NA
"272","Waitemata District","Total Scene","Property damage and environmental pollution",2013,"Recorded",3183,NA
"273","Waitemata District","Total Scene","Property damage and environmental pollution",2014,"Recorded",3062,NA
"274","Waitemata District","Total Scene","Public order offences",1994,"Recorded",2263,NA
"275","Waitemata District","Total Scene","Public order offences",1995,"Recorded",2608,NA
"276","Waitemata District","Total Scene","Public order offences",1996,"Recorded",2509,NA
"277","Waitemata District","Total Scene","Public order offences",1997,"Recorded",2910,NA
"278","Waitemata District","Total Scene","Public order offences",1998,"Recorded",3140,NA
"279","Waitemata District","Total Scene","Public order offences",1999,"Recorded",3475,NA
"280","Waitemata District","Total Scene","Public order offences",2000,"Recorded",3578,NA
"281","Waitemata District","Total Scene","Public order offences",2001,"Recorded",3555,NA
"282","Waitemata District","Total Scene","Public order offences",2002,"Recorded",4112,NA
"283","Waitemata District","Total Scene","Public order offences",2003,"Recorded",3822,NA
"284","Waitemata District","Total Scene","Public order offences",2004,"Recorded",3689,NA
"285","Waitemata District","Total Scene","Public order offences",2005,"Recorded",3359,NA
"286","Waitemata District","Total Scene","Public order offences",2006,"Recorded",3479,NA
"287","Waitemata District","Total Scene","Public order offences",2007,"Recorded",3632,NA
"288","Waitemata District","Total Scene","Public order offences",2008,"Recorded",3642,NA
"289","Waitemata District","Total Scene","Public order offences",2009,"Recorded",3419,NA
"290","Waitemata District","Total Scene","Public order offences",2010,"Recorded",2948,NA
"291","Waitemata District","Total Scene","Public order offences",2011,"Recorded",2554,NA
"292","Waitemata District","Total Scene","Public order offences",2012,"Recorded",2359,NA
"293","Waitemata District","Total Scene","Public order offences",2013,"Recorded",2263,NA
"294","Waitemata District","Total Scene","Public order offences",2014,"Recorded",2066,NA
"295","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",1994,"Recorded",576,NA
"296","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",1995,"Recorded",548,NA
"297","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",1996,"Recorded",730,NA
"298","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",1997,"Recorded",913,NA
"299","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",1998,"Recorded",1003,NA
"300","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",1999,"Recorded",1100,NA
"301","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2000,"Recorded",1501,NA
"302","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2001,"Recorded",1580,NA
"303","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2002,"Recorded",1805,NA
"304","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2003,"Recorded",2070,NA
"305","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2004,"Recorded",1847,NA
"306","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2005,"Recorded",1683,NA
"307","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2006,"Recorded",2138,NA
"308","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2007,"Recorded",2406,NA
"309","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2008,"Recorded",2741,NA
"310","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2009,"Recorded",3378,NA
"311","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2010,"Recorded",2616,NA
"312","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2011,"Recorded",2392,NA
"313","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2012,"Recorded",2197,NA
"314","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2013,"Recorded",1990,NA
"315","Waitemata District","Total Scene","Offences against justice procedures, government security and government operations",2014,"Recorded",2164,NA
"316","Waitemata District","Total Scene","Miscellaneous offences",1994,"Recorded",89,NA
"317","Waitemata District","Total Scene","Miscellaneous offences",1995,"Recorded",80,NA
"318","Waitemata District","Total Scene","Miscellaneous offences",1996,"Recorded",94,NA
"319","Waitemata District","Total Scene","Miscellaneous offences",1997,"Recorded",109,NA
"320","Waitemata District","Total Scene","Miscellaneous offences",1998,"Recorded",135,NA
"321","Waitemata District","Total Scene","Miscellaneous offences",1999,"Recorded",156,NA
"322","Waitemata District","Total Scene","Miscellaneous offences",2000,"Recorded",231,NA
"323","Waitemata District","Total Scene","Miscellaneous offences",2001,"Recorded",228,NA
"324","Waitemata District","Total Scene","Miscellaneous offences",2002,"Recorded",247,NA
